Time,XPosition,YPosition,Strength,Color,GroupID
1434576404294,256,283,4229523,RED,-1
1434576404310,256,295,4505480,RED,-1
1434576404327,256,295,5566441,RED,-1
1434576404342,243,295,3051098,RED,-1
1434576404358,256,295,5865347,RED,-1
1434576404389,256,308,7293275,RED,-1
1434576404405,256,308,8032024,RED,-1
1434576404420,256,308,7367085,RED,-1
1434576404451,256,308,6787402,RED,-1
1434576404467,256,308,6643664,RED,-1
1434576404498,256,308,7577444,RED,-1
1434576404514,256,308,7568206,RED,-1
1434576404529,256,308,8369907,RED,-1
1434576404545,256,308,8411555,RED,-1
1434576404576,256,308,7305524,RED,-1
1434576404592,256,308,8577481,RED,-1
1434576404607,256,308,8634359,RED,-1
1434576404623,256,308,8572021,RED,-1
1434576404639,256,308,8513499,RED,-1
1434576404654,243,308,6670261,RED,-1
1434576404670,243,308,7610277,RED,-1
1434576404685,243,308,6388901,RED,-1
1434576404701,243,308,6981816,RED,-1
1434576404717,230,308,7197526,RED,-1
1434576404732,230,308,6301077,RED,-1
1434576404748,230,308,5797523,RED,-1
1434576404763,230,321,4296618,RED,-1
1434576404779,230,334,5153366,RED,-1
1434576404795,230,334,5457721,RED,-1
1434576404810,217,334,6537246,RED,-1
1434576404826,217,334,6758603,RED,-1
1434576404841,204,334,6673664,RED,-1
1434576404857,204,334,5735400,RED,-1
1434576404873,204,334,6509292,RED,-1
1434576404888,204,334,5678995,RED,-1
1434576404904,204,334,4316816,RED,-1
1434576404919,204,334,4141801,RED,-1
1434576404935,204,334,5115521,RED,-1
1434576404951,204,347,4663250,RED,-1
1434576404966,204,347,4716029,RED,-1
1434576404982,204,347,4809346,RED,-1
1434576405013,204,334,4776310,RED,-1
1434576405029,204,359,4518347,RED,-1
1434576405044,204,347,4631809,RED,-1
1434576405060,204,347,4739736,RED,-1
1434576405060,204,359,5156925,RED,-1
1434576405075,192,347,2992718,RED,-1
1434576405091,204,347,4648833,RED,-1
1434576405122,192,359,5827538,RED,-1
1434576405138,192,347,5430765,RED,-1
1434576405153,192,347,4667327,RED,-1
1434576405169,192,359,5560722,RED,-1
1434576405185,192,359,4973669,RED,-1
1434576405200,192,359,5803796,RED,-1
1434576405216,192,359,5357907,RED,-1
1434576405231,179,359,4178722,RED,-1
1434576405247,192,359,5100973,RED,-1
1434576405263,192,359,5406946,RED,-1
1434576405278,179,347,4658142,RED,-1
1434576405294,179,359,4714579,RED,-1
1434576405309,192,359,5398029,RED,-1
1434576405326,179,347,5145506,RED,-1
1434576405342,192,359,4882723,RED,-1
1434576405357,179,359,4533069,RED,-1
1434576405373,192,359,5198290,RED,-1
1434576405388,192,359,4952230,RED,-1
1434576405404,179,359,4313077,RED,-1
1434576405435,192,347,5445998,RED,-1
1434576405451,192,359,5039187,RED,-1
1434576405466,179,347,4057342,RED,-1
1434576405482,192,359,4437407,RED,-1
1434576405513,179,359,4085381,RED,0
1434576405513,460,436,3064873,RED,0
1434576405529,179,347,3792531,RED,0
1434576405529,460,423,6083260,RED,0
1434576405544,192,359,4822483,RED,0
1434576405544,460,423,8041208,RED,0
1434576405576,192,347,3735894,RED,0
1434576405576,460,436,7324983,RED,0
1434576405591,192,359,5190615,RED,0
1434576405591,460,449,3526756,RED,0
1434576405607,179,359,4494081,RED,0
1434576405607,460,449,5693212,RED,0
1434576405622,179,347,4304376,RED,0
1434576405622,460,449,5047885,GREEN,1
1434576405638,192,359,5496099,RED,0
1434576405638,448,449,7052454,RED,0
1434576405669,179,347,3153033,RED,0
1434576405669,448,449,7057542,GREEN,1
1434576405685,192,359,5687190,RED,0
1434576405685,448,449,7972318,RED,0
1434576405700,192,347,2617356,RED,0
1434576405700,448,449,6761188,GREEN,1
1434576405716,192,347,5400985,RED,0
1434576405716,448,449,8468838,RED,0
1434576405732,179,347,3834577,RED,0
1434576405732,448,449,7984372,GREEN,1
1434576405763,179,347,3867478,RED,0
1434576405763,435,449,6520702,GREEN,1
1434576405778,179,359,4644832,RED,0
1434576405778,448,449,8277870,RED,0
1434576405794,179,347,4499725,RED,0
1434576405794,192,436,2840641,GREEN,1
1434576405794,448,449,8580495,RED,0
1434576405810,192,347,5106470,RED,0
1434576405810,435,449,7674320,GREEN,1
1434576405825,179,334,4341971,RED,0
1434576405825,435,449,8153504,RED,0
1434576405856,192,347,5326055,RED,0
1434576405856,448,449,9812035,RED,0
1434576405872,192,359,6018470,RED,0
1434576405872,448,449,9797095,RED,0
1434576405888,179,359,4496144,RED,0
1434576405888,192,436,2629954,GREEN,1
1434576405888,448,449,10288837,RED,0
1434576405903,192,347,4928078,RED,0
1434576405903,448,449,10237522,GREEN,1
1434576405919,192,347,3629986,RED,0
1434576405919,448,449,9587253,GREEN,1
1434576405934,192,347,3552797,RED,0
1434576405934,448,449,9317696,GREEN,1
1434576405966,192,359,5426568,RED,0
1434576405966,435,449,7426133,RED,0
1434576405981,179,359,4445156,RED,0
1434576405981,435,449,7498749,RED,0
1434576405997,192,347,5347616,RED,0
1434576405997,435,449,7108003,GREEN,1
1434576406012,179,347,4344438,RED,0
1434576406012,435,449,7870645,RED,0
1434576406028,179,334,4646928,RED,0
1434576406028,435,449,8970490,RED,0
1434576406044,179,347,4944637,RED,0
1434576406044,422,449,8003250,RED,0
1434576406075,179,347,3555258,RED,0
1434576406075,448,449,8749360,GREEN,1
1434576406090,192,347,6017115,RED,0
1434576406090,435,449,9196074,RED,0
1434576406106,179,347,4809493,RED,0
1434576406106,435,449,9551766,GREEN,1
1434576406122,179,347,4373736,RED,0
1434576406122,435,449,10274199,RED,0
1434576406137,192,347,5343494,RED,0
1434576406137,435,449,9497902,RED,0
1434576406153,179,347,5365777,RED,0
1434576406153,435,449,9899066,RED,0
1434576406168,179,334,4922182,RED,0
1434576406168,435,449,8890596,RED,0
1434576406200,192,359,5649458,RED,0
1434576406200,435,449,9663497,RED,0
1434576406215,179,347,4397407,RED,0
1434576406215,435,449,8414377,RED,0
1434576406231,192,334,4889169,RED,0
1434576406231,422,449,7652101,RED,0
1434576406246,179,347,5038339,RED,0
1434576406246,422,449,7984692,RED,0
1434576406262,179,334,4150222,RED,0
1434576406262,422,449,8301097,RED,0
1434576406278,192,334,3377954,RED,0
1434576406278,422,449,6712631,RED,0
1434576406293,192,334,3556024,RED,0
1434576406293,422,449,7890770,RED,0
1434576406309,179,334,3205084,RED,0
1434576406309,422,449,8069499,RED,0
1434576406340,179,334,3454144,RED,0
1434576406340,422,449,6895923,RED,0
1434576406357,179,334,4763376,RED,0
1434576406357,422,449,9255016,RED,0
1434576406372,179,347,3527170,RED,0
1434576406372,422,449,8120446,RED,0
1434576406388,179,334,4957230,RED,0
1434576406388,422,449,9815241,RED,0
1434576406403,192,334,5147364,RED,0
1434576406403,422,449,9123050,RED,0
1434576406419,192,347,3785862,RED,0
1434576406419,422,449,8962581,GREEN,1
1434576406450,179,347,4922111,RED,0
1434576406450,153,308,2836598,GREEN,1
1434576406450,422,449,8271982,GREEN,1
1434576406466,179,334,3901031,RED,0
1434576406466,422,449,7573867,RED,0
1434576406497,192,334,5261028,RED,0
1434576406497,422,449,8469244,RED,0
1434576406513,192,334,5654959,RED,0
1434576406513,422,449,5266148,RED,0
1434576406528,179,334,4390736,RED,0
1434576406528,422,449,7211763,RED,0
1434576406544,179,334,4150209,RED,0
1434576406544,422,449,8046842,RED,0
1434576406559,192,334,5079878,RED,0
1434576406559,422,449,7348350,RED,0
1434576406575,192,334,5373746,RED,0
1434576406575,422,449,9109638,RED,0
1434576406591,192,334,5108843,RED,0
1434576406591,422,449,9172498,RED,0
1434576406622,192,334,6005414,RED,0
1434576406622,422,449,7219470,RED,0
1434576406637,192,334,6291998,RED,0
1434576406637,422,449,8840179,RED,0
1434576406653,192,334,6019240,RED,0
1434576406653,422,449,7810575,RED,0
1434576406669,179,334,4269370,RED,0
1434576406669,422,449,8331901,RED,0
1434576406700,192,334,4406612,RED,0
1434576406700,422,449,9350047,RED,0
1434576406715,179,347,4541369,RED,0
1434576406715,422,462,8889525,RED,0
1434576406731,179,347,4138854,RED,0
1434576406731,422,462,9728363,RED,0
1434576406747,192,334,4475871,RED,0
1434576406747,409,475,6014543,RED,0
1434576406762,192,347,3323739,RED,0
1434576406762,409,487,3044765,RED,0
